Name,Age,Team_x,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,wOBA,OAA,OFF,DEF,Qualified DH,Team_y,Run Differential,Team_Abbreviation
Miguel Andujar,27,NYY,AL,27,100,96,9,22,2,0,1,8,4,0,3,22,0.229,0.25,0.281,0.531,53,27,0,0,0,1,0,0.2362,-3.0,0.2362,-3.0,No,New York Yankees,240,NYY
Harrison Bader,28,NYY,AL,14,49,46,3,10,3,0,0,9,2,1,2,15,0.217,0.245,0.283,0.528,51,13,0,0,0,1,0,0.233061224,0.325581395,0.233061224,0.325581395,No,New York Yankees,240,NYY
Andrew Benintendi*,27,NYY,AL,33,131,114,14,29,9,1,2,12,4,1,13,25,0.254,0.331,0.404,0.734,110,46,1,1,1,2,0,0.323615385,-0.523809524,0.323615385,-0.523809524,No,New York Yankees,240,NYY
Rob Brantly*,32,NYY,AL,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,178,2,0,0,0,0,0,0.423333333,0.0,0.423333333,0.0,No,New York Yankees,240,NYY
Oswaldo Cabrera#,23,NYY,AL,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,110,66,1,0,1,1,0,0.324705882,0.0,0.324705882,0.0,No,New York Yankees,240,NYY
Matt Carpenter*,36,NYY,AL,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,219,93,2,5,1,1,1,0.475657895,-3.0,0.475657895,-3.0,No,New York Yankees,240,NYY
Josh Donaldson,36,NYY,AL,132,546,478,59,106,28,0,15,62,2,2,54,148,0.222,0.308,0.374,0.682,95,179,13,8,0,6,1,0.30359633,-4.0,0.30359633,-4.0,No,New York Yankees,240,NYY
Estevan Florial*,24,NYY,AL,17,35,31,4,3,0,0,0,1,2,0,3,13,0.097,0.2,0.097,0.297,-11,3,0,1,0,0,0,0.156,1.0,0.156,1.0,No,New York Yankees,240,NYY
Joey Gallo*,28,NYY,AL,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339,0.621,78,79,0,0,0,0,0,0.283150183,1.301587302,0.283150183,1.301587302,No,New York Yankees,240,NYY
Marwin Gonzalez#,33,NYY,AL,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321,0.576,64,59,8,4,3,2,0,0.258431373,0.0,0.258431373,0.0,No,New York Yankees,240,NYY
Ronald Guzman*,27,NYY,AL,3,6,6,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,1,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Yankees,240,NYY
Aaron Hicks#,32,NYY,AL,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,86,120,10,4,1,2,3,0.29403118,0.0,0.29403118,0.0,No,New York Yankees,240,NYY
Kyle Higashioka,32,NYY,AL,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,85,89,5,1,2,4,0,0.284715447,0.0,0.284715447,0.0,No,New York Yankees,240,NYY
Aaron Judge,30,NYY,AL,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,212,391,14,6,0,5,19,0.462095097,-4.0,0.462095097,-4.0,No,New York Yankees,240,NYY
Isiah Kiner-Falefa,27,NYY,AL,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,85,158,13,5,3,5,2,0.286977186,5.0,0.286977186,5.0,No,New York Yankees,240,NYY
DJ LeMahieu,33,NYY,AL,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,112,176,12,4,1,2,0,0.331574074,-1.0,0.331574074,-1.0,No,New York Yankees,240,NYY
Jonathan Loaisiga,27,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Yankees,240,NYY
Tim Locastro,29,NYY,AL,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,66,15,0,1,0,0,0,0.261304348,0.0,0.261304348,0.0,No,New York Yankees,240,NYY
Oswald Peraza,22,NYY,AL,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,140,21,3,2,0,0,0,0.373333333,0.0,0.373333333,0.0,No,New York Yankees,240,NYY
Anthony Rizzo*,32,NYY,AL,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,132,223,13,23,0,2,6,0.3550369,1.0,0.3550369,1.0,No,New York Yankees,240,NYY
Clarke Schmidt,26,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Yankees,240,NYY
Giancarlo Stanton,32,NYY,AL,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,114,184,8,0,0,3,2,0.329732739,3.0,0.329732739,3.0,No,New York Yankees,240,NYY
Gleyber Torres,25,NYY,AL,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,115,237,12,3,1,3,2,0.330843585,0.0,0.330843585,0.0,No,New York Yankees,240,NYY
Jose Trevino,29,NYY,AL,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,91,130,5,2,0,1,0,0.295354108,-7.0,0.295354108,-7.0,No,New York Yankees,240,NYY
Nolan Arenado,31,STL,NL,148,620,557,73,163,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,151,297,15,7,0,4,3,0.383970827,0.0,0.383970827,0.0,No,St. Louis Cardinals,135,STL
Harrison Bader,28,STL,NL,72,264,246,35,63,7,3,5,21,15,2,13,47,0.256,0.303,0.37,0.673,92,91,4,4,0,1,0,0.298560606,1.674418605,0.298560606,1.674418605,No,St. Louis Cardinals,135,STL
Alec Burleson*,23,STL,NL,16,53,48,4,9,1,0,1,3,1,0,5,9,0.188,0.264,0.271,0.535,54,13,1,0,0,0,0,0.246226415,-1.0,0.246226415,-1.0,No,St. Louis Cardinals,135,STL
Conner Capel*,25,STL,NL,9,19,17,1,3,0,0,1,2,0,0,1,2,0.176,0.211,0.353,0.563,58,6,0,0,0,1,0,0.240526316,-0.818181818,0.240526316,-0.818181818,No,St. Louis Cardinals,135,STL
Dylan Carlson#,23,STL,NL,128,488,432,56,102,30,4,8,42,5,2,45,94,0.236,0.316,0.38,0.695,99,164,6,7,0,4,1,0.308377823,0.0,0.308377823,0.0,No,St. Louis Cardinals,135,STL
Paul DeJong,28,STL,NL,77,237,210,19,33,9,0,6,25,3,2,21,79,0.157,0.245,0.286,0.53,52,60,2,4,0,2,0,0.242278481,2.0,0.242278481,2.0,No,St. Louis Cardinals,135,STL
Ben DeLuzio,27,STL,NL,22,25,20,3,3,1,0,0,0,0,1,3,5,0.15,0.292,0.2,0.492,45,4,0,1,1,0,0,0.243333333,0.0,0.243333333,0.0,No,St. Louis Cardinals,135,STL
Corey Dickerson*,33,STL,NL,96,297,281,28,75,17,1,6,36,0,0,12,48,0.267,0.3,0.399,0.698,98,112,4,2,0,2,1,0.304831081,8.0,0.304831081,8.0,No,St. Louis Cardinals,135,STL
Brendan Donovan*,25,STL,NL,126,468,391,64,110,21,1,5,45,2,3,60,70,0.281,0.394,0.379,0.773,124,148,8,14,1,2,1,0.350751073,-1.0,0.350751073,-1.0,No,St. Louis Cardinals,135,STL
Tommy Edman#,27,STL,NL,153,630,577,95,153,31,4,13,57,32,3,46,111,0.265,0.324,0.4,0.725,107,231,10,5,1,1,2,0.319872408,0.0,0.319872408,0.0,No,St. Louis Cardinals,135,STL
Paul Goldschmidt,34,STL,NL,151,651,561,106,178,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,324,7,5,0,4,1,0.422484568,-14.0,0.422484568,-14.0,No,St. Louis Cardinals,135,STL
Nolan Gorman*,22,STL,NL,89,313,283,44,64,13,0,14,35,1,0,28,103,0.226,0.3,0.42,0.721,104,119,2,2,0,0,0,0.318210863,0.0,0.318210863,0.0,No,St. Louis Cardinals,135,STL
Ivan Herrera,22,STL,NL,11,22,18,0,2,0,0,0,1,0,0,2,8,0.111,0.19,0.111,0.302,-10,2,0,0,1,1,0,0.15047619,0.0,0.15047619,0.0,No,St. Louis Cardinals,135,STL
Andrew Knizner,27,STL,NL,96,293,260,28,56,10,0,4,25,0,1,26,62,0.215,0.301,0.3,0.601,74,78,9,6,1,0,0,0.276506849,0.0,0.276506849,0.0,No,St. Louis Cardinals,135,STL
Matthew Liberatore*,22,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,St. Louis Cardinals,135,STL
Yadier Molina,39,STL,NL,78,270,262,19,56,8,0,5,24,2,0,5,40,0.214,0.233,0.302,0.535,52,79,10,2,0,1,0,0.23637037,2.0,0.23637037,2.0,No,St. Louis Cardinals,135,STL
Lars Nootbaar*,24,STL,NL,108,347,290,53,66,16,3,14,40,4,1,51,71,0.228,0.34,0.448,0.788,124,130,3,1,0,5,1,0.344421965,3.0,0.344421965,3.0,No,St. Louis Cardinals,135,STL
Tyler O'Neill,27,STL,NL,96,383,334,56,76,11,1,14,58,14,4,38,103,0.228,0.308,0.392,0.7,99,131,9,4,0,7,0,0.309634465,4.0,0.309634465,4.0,No,St. Louis Cardinals,135,STL
Albert Pujols,42,STL,NL,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,151,169,13,10,0,6,1,0.383028571,4.0,0.383028571,4.0,No,St. Louis Cardinals,135,STL
Kramer Robertson,27,STL,NL,2,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,St. Louis Cardinals,135,STL
Austin Romine,33,STL,NL,11,28,26,2,4,1,0,0,0,0,0,2,7,0.154,0.214,0.192,0.407,18,5,0,0,0,0,0,0.19,1.294117647,0.19,1.294117647,No,St. Louis Cardinals,135,STL
Edmundo Sosa,26,STL,NL,53,131,122,17,23,4,3,0,8,3,1,4,38,0.189,0.244,0.27,0.515,48,33,3,5,0,0,0,0.233129771,-5.435897436,0.233129771,-5.435897436,No,St. Louis Cardinals,135,STL
Cory Spangenberg*,31,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,St. Louis Cardinals,135,STL
Juan Yepez,24,STL,NL,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,109,113,6,1,0,4,0,0.321824818,-3.0,0.321824818,-3.0,No,St. Louis Cardinals,135,STL
Gabriel Arias,22,CLE,AL,16,57,47,9,9,1,1,1,5,1,0,8,16,0.191,0.321,0.319,0.641,87,15,1,1,1,0,0,0.295892857,-2.0,0.295892857,-2.0,No,Cleveland Guardians,64,CLE
Will Benson*,24,CLE,AL,28,61,55,8,10,1,0,0,3,0,0,3,19,0.182,0.25,0.2,0.45,33,11,1,2,1,0,0,0.213166667,0.0,0.213166667,0.0,No,Cleveland Guardians,64,CLE
Bobby Bradley*,26,CLE,AL,8,17,17,1,2,0,0,0,0,0,0,0,9,0.118,0.118,0.118,0.235,-31,2,0,0,0,0,0,0.104705882,0.0,0.104705882,0.0,No,Cleveland Guardians,64,CLE
Will Brennan*,24,CLE,AL,11,45,42,6,15,1,1,1,8,2,1,2,4,0.357,0.4,0.5,0.9,159,21,0,1,0,0,1,0.388181818,-1.0,0.388181818,-1.0,No,Cleveland Guardians,64,CLE
Alex Call,27,CLE,AL,12,16,12,2,2,0,0,0,0,0,0,4,4,0.167,0.375,0.167,0.542,65,2,0,0,0,0,0,0.28375,0.0,0.28375,0.0,No,Cleveland Guardians,64,CLE
Yu Chang,26,CLE,AL,4,10,10,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.463768116,0.0,0.463768116,No,Cleveland Guardians,64,CLE
Ernie Clement,26,CLE,AL,63,161,145,18,29,3,0,0,6,0,1,11,24,0.2,0.264,0.221,0.485,43,32,3,2,2,1,0,0.226289308,-1.826086957,0.226289308,-1.826086957,No,Cleveland Guardians,64,CLE
Enyel De Los Santos,26,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cleveland Guardians,64,CLE
Tyler Freeman,23,CLE,AL,24,86,77,9,19,3,0,0,3,1,0,4,11,0.247,0.314,0.286,0.6,76,22,2,4,0,1,0,0.275465116,1.0,0.275465116,1.0,No,Cleveland Guardians,64,CLE
Andres Gimenez*,23,CLE,AL,146,557,491,66,146,26,3,17,69,20,3,34,112,0.297,0.371,0.466,0.837,141,229,9,25,4,3,4,0.366630237,0.0,0.366630237,0.0,No,Cleveland Guardians,64,CLE
Oscar Gonzalez,24,CLE,AL,91,382,362,39,107,27,0,11,43,1,2,15,75,0.296,0.327,0.461,0.789,125,167,6,3,0,2,2,0.341921053,-8.0,0.341921053,-8.0,No,Cleveland Guardians,64,CLE
Austin Hedges,29,CLE,AL,105,338,294,26,48,4,0,7,30,2,0,25,78,0.163,0.241,0.248,0.489,42,73,12,6,10,3,0,0.226463415,-1.0,0.226463415,-1.0,No,Cleveland Guardians,64,CLE
Nolan Jones*,24,CLE,AL,28,94,86,10,21,5,0,2,13,0,0,8,31,0.244,0.309,0.372,0.681,96,32,2,0,0,0,1,0.299354839,-1.0,0.299354839,-1.0,No,Cleveland Guardians,64,CLE
Steven Kwan*,24,CLE,AL,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,124,225,9,7,2,4,2,0.343580442,-10.0,0.343580442,-10.0,No,Cleveland Guardians,64,CLE
Bryan Lavastida,23,CLE,AL,6,15,12,0,1,0,0,0,0,0,0,3,4,0.083,0.267,0.083,0.35,8,1,0,0,0,0,0,0.197333333,0.0,0.197333333,0.0,No,Cleveland Guardians,64,CLE
Sandy Leon#,33,CLE,AL,8,21,15,0,2,0,0,0,0,0,0,6,4,0.133,0.381,0.133,0.514,59,2,1,0,0,0,0,0.281904762,0.0,0.281904762,0.0,No,Cleveland Guardians,64,CLE
Luke Maile,31,CLE,AL,76,206,181,19,40,10,0,3,17,0,0,19,54,0.221,0.301,0.326,0.627,82,59,6,3,0,3,0,0.283009709,-1.0,0.283009709,-1.0,No,Cleveland Guardians,64,CLE
Oscar Mercado,27,CLE,AL,49,119,114,17,23,6,1,4,16,2,2,3,27,0.202,0.227,0.377,0.604,71,43,4,1,0,1,0,0.261428571,0.0,0.261428571,0.0,No,Cleveland Guardians,64,CLE
Oscar Mercado,27,CLE,AL,5,8,6,0,2,0,0,0,0,0,0,2,1,0.333,0.5,0.333,0.833,149,2,4,0,0,0,0,0.395,0.0,0.395,0.0,No,Cleveland Guardians,64,CLE
Owen Miller,25,CLE,AL,130,472,424,53,103,26,1,6,51,2,0,32,93,0.243,0.301,0.351,0.652,89,149,8,7,0,9,1,0.288683652,-3.0,0.288683652,-3.0,No,Cleveland Guardians,64,CLE
Bo Naylor*,22,CLE,AL,5,8,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cleveland Guardians,64,CLE
Josh Naylor*,25,CLE,AL,122,498,449,47,115,28,0,20,79,6,1,38,80,0.256,0.319,0.452,0.771,121,203,13,6,0,5,4,0.333947368,-2.0,0.333947368,-2.0,No,Cleveland Guardians,64,CLE
Richie Palacios*,25,CLE,AL,54,123,112,7,26,6,0,0,10,2,0,9,20,0.232,0.293,0.286,0.578,69,32,2,1,0,1,1,0.259508197,3.0,0.259508197,3.0,No,Cleveland Guardians,64,CLE
Jose Ramirez#,29,CLE,AL,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148,309,5,6,0,9,20,0.365578947,0.0,0.365578947,0.0,No,Cleveland Guardians,64,CLE
Franmil Reyes,26,CLE,AL,70,280,263,24,56,9,0,9,28,2,0,14,104,0.213,0.254,0.35,0.603,73,92,8,1,0,2,0,0.266178571,-2.372881356,0.266178571,-2.372881356,No,Cleveland Guardians,64,CLE
Amed Rosario,26,CLE,AL,153,670,637,86,180,26,9,11,71,18,4,25,111,0.283,0.312,0.403,0.715,106,257,19,4,0,4,0,0.313567164,7.0,0.313567164,7.0,No,Cleveland Guardians,64,CLE
Bryan Shaw#,34,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cleveland Guardians,64,CLE
Myles Straw,27,CLE,AL,152,596,535,72,118,22,3,0,32,21,1,54,87,0.221,0.291,0.273,0.564,65,146,4,1,2,4,0,0.258501684,21.0,0.258501684,21.0,No,Cleveland Guardians,64,CLE
Luis Arraez*,25,MIN,AL,144,603,547,88,173,31,1,8,49,4,4,50,43,0.316,0.375,0.42,0.795,127,230,6,3,0,3,2,0.351813644,-3.0,0.351813644,-3.0,No,Minnesota Twins,12,MIN
Tim Beckham,32,MIN,AL,12,25,25,1,2,0,0,0,1,0,0,0,9,0.08,0.08,0.08,0.16,-54,2,2,0,0,0,0,0.0712,-1.0,0.0712,-1.0,No,Minnesota Twins,12,MIN
Byron Buxton,28,MIN,AL,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,132,179,0,7,0,1,0,0.359031414,2.0,0.359031414,2.0,No,Minnesota Twins,12,MIN
Jake Cave*,29,MIN,AL,54,177,164,17,35,7,3,5,20,2,0,11,49,0.213,0.26,0.384,0.644,81,63,2,0,0,2,0,0.280451977,-1.0,0.280451977,-1.0,No,Minnesota Twins,12,MIN
Gilberto Celestino,23,MIN,AL,122,347,311,30,74,12,1,2,24,4,1,32,77,0.238,0.313,0.302,0.615,78,94,13,2,2,0,0,0.28142029,-4.0,0.28142029,-4.0,No,Minnesota Twins,12,MIN
Mark Contreras*,27,MIN,AL,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293,0.441,22,17,2,1,0,1,0,0.190983607,1.0,0.190983607,1.0,No,Minnesota Twins,12,MIN
Carlos Correa,27,MIN,AL,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,137,244,18,3,0,4,2,0.365,-6.0,0.365,-6.0,No,Minnesota Twins,12,MIN
Tyler Duffey,31,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Minnesota Twins,12,MIN
Jhoan Duran,24,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Minnesota Twins,12,MIN
Michael Fulmer,29,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Minnesota Twins,12,MIN
Kyle Garlick,30,MIN,AL,66,162,150,23,35,3,0,9,18,0,0,8,48,0.233,0.284,0.433,0.717,102,65,2,3,0,1,0,0.313950617,-4.0,0.313950617,-4.0,No,Minnesota Twins,12,MIN
Jose Godoy*,27,MIN,AL,2,5,3,2,0,0,0,0,0,0,0,2,2,0.0,0.4,0.0,0.4,29,0,0,0,0,0,0,0.276,0.0,0.276,0.0,No,Minnesota Twins,12,MIN
Nick Gordon*,26,MIN,AL,136,443,405,45,110,28,4,9,50,6,4,19,105,0.272,0.316,0.427,0.743,110,173,8,10,3,6,1,0.323394077,1.0,0.323394077,1.0,No,Minnesota Twins,12,MIN
Billy Hamilton,31,MIN,AL,17,8,7,4,0,0,0,0,0,3,1,1,4,0.0,0.125,0.0,0.125,-60,0,0,0,0,0,0,0.08625,0.0,0.08625,0.0,No,Minnesota Twins,12,MIN
Caleb Hamilton,27,MIN,AL,22,23,18,5,1,0,0,1,1,0,0,4,14,0.056,0.227,0.222,0.449,30,4,0,0,1,0,0,0.220909091,0.0,0.220909091,0.0,No,Minnesota Twins,12,MIN
Ryan Jeffers,25,MIN,AL,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363,0.648,84,77,6,0,1,0,0,0.289489362,0.0,0.289489362,0.0,No,Minnesota Twins,12,MIN
Max Kepler*,29,MIN,AL,115,446,388,54,88,18,1,9,43,3,2,49,66,0.227,0.318,0.348,0.666,91,135,7,5,0,4,1,0.3,2.0,0.3,2.0,No,Minnesota Twins,12,MIN
Alex Kirilloff*,24,MIN,AL,45,156,144,14,36,7,0,3,21,0,0,5,36,0.25,0.29,0.361,0.651,85,52,5,4,0,2,0,0.288129032,-1.0,0.288129032,-1.0,No,Minnesota Twins,12,MIN
Trevor Larnach*,25,MIN,AL,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,102,65,1,0,0,2,1,0.310893855,1.0,0.310893855,1.0,No,Minnesota Twins,12,MIN
Sandy Leon#,33,MIN,AL,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.27,0.232,0.502,46,13,1,0,2,0,0,0.236031746,0.0,0.236031746,0.0,No,Minnesota Twins,12,MIN
Royce Lewis,23,MIN,AL,12,41,40,5,12,4,0,2,5,0,0,1,5,0.3,0.317,0.55,0.867,142,22,2,0,0,0,0,0.373414634,0.0,0.373414634,0.0,No,Minnesota Twins,12,MIN
Jorge Lopez,29,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Minnesota Twins,12,MIN
Jose Miranda,24,MIN,AL,125,483,444,45,119,25,0,15,66,1,1,28,91,0.268,0.325,0.426,0.751,113,189,19,10,0,1,0,0.331428571,1.0,0.331428571,1.0,No,Minnesota Twins,12,MIN
Jermaine Palacios,25,MIN,AL,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,17,16,2,0,1,2,0,0.185263158,0.0,0.185263158,0.0,No,Minnesota Twins,12,MIN
Jorge Polanco#,28,MIN,AL,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,114,152,4,2,0,4,1,0.334842342,0.0,0.334842342,0.0,No,Minnesota Twins,12,MIN
Gary Sanchez,29,MIN,AL,128,471,419,42,86,24,0,16,61,2,0,40,136,0.205,0.282,0.377,0.659,87,158,12,7,0,5,0,0.292271762,0.0,0.292271762,0.0,No,Minnesota Twins,12,MIN
Miguel Sano,29,MIN,AL,20,71,60,1,5,0,0,1,3,1,0,9,25,0.083,0.211,0.133,0.345,2,8,0,1,0,1,0,0.177323944,0.0,0.177323944,0.0,No,Minnesota Twins,12,MIN
Caleb Thielbar,35,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Minnesota Twins,12,MIN
Gio Urshela,30,MIN,AL,144,551,501,61,143,27,3,13,64,1,0,41,96,0.285,0.338,0.429,0.767,118,215,21,2,0,7,2,0.334790528,-5.0,0.334790528,-5.0,No,Minnesota Twins,12,MIN
Matt Wallner*,24,MIN,AL,18,65,57,4,13,3,0,2,10,1,0,6,25,0.228,0.323,0.386,0.709,102,22,0,2,0,0,1,0.3128125,0.0,0.3128125,0.0,No,Minnesota Twins,12,MIN
Akil Baddoo*,23,DET,AL,73,225,201,30,41,3,2,2,9,9,6,24,64,0.204,0.289,0.269,0.558,63,54,2,0,0,0,0,0.258088889,-3.0,0.258088889,-3.0,No,Detroit Tigers,-156,DET
Javier Baez,29,DET,AL,144,590,555,64,132,27,4,17,67,9,2,26,147,0.238,0.278,0.393,0.671,92,218,13,6,0,3,1,0.293378608,0.0,0.293378608,0.0,No,Detroit Tigers,-156,DET
Tucker Barnhart*,31,DET,AL,94,308,281,16,62,10,0,1,16,0,0,25,74,0.221,0.287,0.267,0.554,62,75,7,1,1,0,0,0.254592834,-2.0,0.254592834,-2.0,No,Detroit Tigers,-156,DET
Miguel Cabrera,39,DET,AL,112,433,397,25,101,10,0,5,43,1,0,28,101,0.254,0.305,0.317,0.622,81,126,11,3,0,5,3,0.277093023,-1.0,0.277093023,-1.0,No,Detroit Tigers,-156,DET
Daz Cameron,25,DET,AL,21,70,64,6,14,3,1,1,8,2,0,5,20,0.219,0.286,0.344,0.629,82,22,1,1,0,0,0,0.281571429,0.0,0.281571429,0.0,No,Detroit Tigers,-156,DET
Jeimer Candelario#,28,DET,AL,124,467,429,49,93,19,2,13,50,0,1,28,109,0.217,0.272,0.361,0.633,82,155,9,6,0,4,1,0.279248927,0.0,0.279248927,0.0,No,Detroit Tigers,-156,DET
Kerry Carpenter*,24,DET,AL,31,113,103,16,26,4,1,6,10,0,0,6,32,0.252,0.31,0.485,0.795,126,50,0,3,0,1,0,0.344690265,-1.0,0.344690265,-1.0,No,Detroit Tigers,-156,DET
Harold Castro*,28,DET,AL,120,443,420,37,114,21,2,7,47,0,1,17,79,0.271,0.3,0.381,0.681,96,160,5,1,3,2,1,0.298701595,1.0,0.298701595,1.0,No,Detroit Tigers,-156,DET
Willi Castro#,25,DET,AL,112,392,365,47,88,18,2,8,31,9,4,15,82,0.241,0.284,0.367,0.651,87,134,4,8,1,3,0,0.287493606,0.0,0.287493606,0.0,No,Detroit Tigers,-156,DET
Kody Clemens*,26,DET,AL,56,127,117,13,17,4,0,5,17,1,0,8,33,0.145,0.197,0.308,0.505,43,36,1,0,0,2,0,0.222204724,2.0,0.222204724,2.0,No,Detroit Tigers,-156,DET
Brendon Davis,24,DET,AL,3,11,10,2,2,0,0,0,0,1,0,1,3,0.2,0.273,0.2,0.473,40,2,0,0,0,0,0,0.224545455,0.0,0.224545455,0.0,No,Detroit Tigers,-156,DET
Dustin Garneau,34,DET,AL,8,11,10,1,3,1,0,0,1,0,0,1,4,0.3,0.364,0.4,0.764,122,4,0,0,0,0,0,0.34,0.0,0.34,0.0,No,Detroit Tigers,-156,DET
Riley Greene*,21,DET,AL,93,418,376,46,95,18,4,5,42,1,4,36,120,0.253,0.321,0.362,0.682,98,136,8,3,0,3,0,0.304688995,3.0,0.304688995,3.0,No,Detroit Tigers,-156,DET
Robbie Grossman#,32,DET,AL,83,320,273,24,56,13,1,2,23,3,1,38,90,0.205,0.313,0.282,0.595,74,77,2,6,0,3,0,0.27646875,0.0,0.27646875,0.0,No,Detroit Tigers,-156,DET
Eric Haase,29,DET,AL,110,351,323,41,82,17,1,14,44,0,0,24,97,0.254,0.305,0.443,0.748,113,143,9,1,0,3,1,0.324857143,0.0,0.324857143,0.0,No,Detroit Tigers,-156,DET
Derek Hill,26,DET,AL,31,92,83,8,19,2,0,1,3,3,0,5,28,0.229,0.27,0.289,0.559,62,24,0,0,3,1,0,0.250898876,1.0,0.250898876,1.0,No,Detroit Tigers,-156,DET
Ryan Kreidler,24,DET,AL,26,84,73,8,13,1,0,1,6,0,1,6,22,0.178,0.244,0.233,0.477,39,17,0,1,2,2,0,0.219756098,0.0,0.219756098,0.0,No,Detroit Tigers,-156,DET
Josh Lester*,27,DET,AL,2,5,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Detroit Tigers,-156,DET
