Name,Age,Team_x,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,wOBA,OAA,OFF,DEF,Qualified DH,Team_y,Run Differential,Team_Abbreviation
Kevin Smith,25,OAK,AL,47,151,139,9,25,9,1,2,13,4,0,7,42,0.18,0.216,0.302,0.518,51,42,5,0,3,2,0,0.227364865,-3.0,0.227364865,-3.0,No,Oakland Athletics,-202,OAK
Cal Stevenson*,25,OAK,AL,23,71,60,5,10,3,0,0,1,1,1,8,23,0.167,0.261,0.217,0.478,43,13,1,0,2,1,0,0.225507246,0.0,0.225507246,0.0,No,Oakland Athletics,-202,OAK
Cody Thomas*,27,OAK,AL,10,32,30,1,8,0,0,0,0,0,0,2,12,0.267,0.313,0.267,0.579,74,8,0,0,0,0,0,0.265625,0.0,0.265625,0.0,No,Oakland Athletics,-202,OAK
Stephen Vogt*,37,OAK,AL,70,191,168,18,27,4,1,7,23,1,0,17,46,0.161,0.241,0.321,0.562,64,54,4,2,0,4,0,0.250890052,2.0,0.250890052,2.0,No,Oakland Athletics,-202,OAK
Abraham Almonte#,33,BOS,AL,15,37,35,7,9,2,0,1,2,1,0,1,12,0.257,0.297,0.4,0.697,91,14,1,1,0,0,0,0.307837838,0.0,0.307837838,0.0,No,Boston Red Sox,-52,BOS
Jonathan Arauz#,23,BOS,AL,6,12,10,1,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,1,1,0,0.0,0.0,0.0,0.0,No,Boston Red Sox,-52,BOS
Christian Arroyo,27,BOS,AL,87,300,280,32,80,16,1,6,36,5,1,13,49,0.286,0.322,0.414,0.736,102,116,7,3,2,2,2,0.321013514,-2.0,0.321013514,-2.0,No,Boston Red Sox,-52,BOS
Xander Bogaerts,29,BOS,AL,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,130,254,14,10,0,7,2,0.36554849,-3.0,0.36554849,-3.0,No,Boston Red Sox,-52,BOS
Jackie Bradley Jr.*,32,BOS,AL,91,290,271,21,57,19,1,3,29,2,3,17,58,0.21,0.257,0.321,0.578,59,87,3,0,2,0,0,0.257083333,11.11450382,0.257083333,11.11450382,No,Boston Red Sox,-52,BOS
Triston Casas*,22,BOS,AL,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408,0.766,112,31,4,0,0,0,0,0.346210526,-1.0,0.346210526,-1.0,No,Boston Red Sox,-52,BOS
Yu Chang,26,BOS,AL,11,26,20,3,3,2,0,0,1,0,0,5,7,0.15,0.346,0.25,0.596,69,5,1,1,0,0,0,0.292307692,1.275362319,0.292307692,1.275362319,No,Boston Red Sox,-52,BOS
Franchy Cordero*,27,BOS,AL,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,91,96,1,1,2,2,1,0.306580882,4.0,0.306580882,4.0,No,Boston Red Sox,-52,BOS
Bobby Dalbec,27,BOS,AL,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,79,117,5,3,0,4,0,0.289206799,0.0,0.289206799,0.0,No,Boston Red Sox,-52,BOS
Jaylin Davis,27,BOS,AL,12,27,24,4,8,1,0,0,2,0,0,3,11,0.333,0.407,0.375,0.782,119,9,0,0,0,0,0,0.354444444,0.0,0.354444444,0.0,No,Boston Red Sox,-52,BOS
Rafael Devers*,25,BOS,AL,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,140,289,14,6,0,3,11,0.375704809,-8.0,0.375704809,-8.0,No,Boston Red Sox,-52,BOS
Jeter Downs,23,BOS,AL,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256,0.427,16,10,0,0,0,1,0,0.185853659,-1.0,0.185853659,-1.0,No,Boston Red Sox,-52,BOS
Jarren Duran*,25,BOS,AL,58,223,204,23,45,14,3,3,17,7,1,14,63,0.221,0.283,0.363,0.645,77,74,1,4,0,1,0,0.285784753,1.0,0.285784753,1.0,No,Boston Red Sox,-52,BOS
Enrique Hernandez,30,BOS,AL,93,402,361,48,80,24,0,6,45,0,2,34,71,0.222,0.291,0.338,0.629,74,122,11,3,0,4,0,0.28159204,0.0,0.28159204,0.0,No,Boston Red Sox,-52,BOS
Eric Hosmer*,32,BOS,AL,14,50,45,6,11,3,0,0,4,0,0,4,9,0.244,0.32,0.311,0.631,76,14,2,1,0,0,0,0.2882,-1.615384615,0.2882,-1.615384615,No,Boston Red Sox,-52,BOS
J.D. Martinez,34,BOS,AL,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117,239,20,5,0,5,1,0.345387205,-11.0,0.345387205,-11.0,Yes,Boston Red Sox,-52,BOS
Reese McGuire*,27,BOS,AL,36,108,98,13,33,5,1,3,12,1,0,6,23,0.337,0.377,0.5,0.877,141,49,4,1,1,1,0,0.381981132,0.808988764,0.381981132,0.808988764,No,Boston Red Sox,-52,BOS
Tommy Pham,34,BOS,AL,53,235,214,32,50,12,0,6,24,1,1,14,67,0.234,0.298,0.374,0.672,85,80,7,6,0,1,0,0.299148936,4.416666667,0.299148936,4.416666667,No,Boston Red Sox,-52,BOS
Kevin Plawecki,31,BOS,AL,60,175,157,15,34,8,0,1,12,0,0,14,28,0.217,0.287,0.287,0.574,60,45,5,2,1,1,0,0.262126437,3.80952381,0.262126437,3.80952381,No,Boston Red Sox,-52,BOS
Rob Refsnyder,31,BOS,AL,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,142,76,1,6,0,3,0,0.383841808,-2.0,0.383841808,-2.0,No,Boston Red Sox,-52,BOS
Yolmer Sanchez#,30,BOS,AL,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,-7,4,0,0,2,0,0,0.166904762,0.0,0.166904762,0.0,No,Boston Red Sox,-52,BOS
Travis Shaw*,32,BOS,AL,7,19,19,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Boston Red Sox,-52,BOS
Trevor Story,29,BOS,AL,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,101,155,9,3,0,4,4,0.318494898,-3.0,0.318494898,-3.0,No,Boston Red Sox,-52,BOS
Christian Vazquez,31,BOS,AL,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,108,127,7,3,0,3,0,0.332484277,0.0,0.332484277,0.0,No,Boston Red Sox,-52,BOS
Alex Verdugo*,26,BOS,AL,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102,240,14,3,0,6,2,0.321433022,1.0,0.321433022,1.0,No,Boston Red Sox,-52,BOS
Connor Wong,26,BOS,AL,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,62,15,0,1,1,1,0,0.264181818,0.0,0.264181818,0.0,No,Boston Red Sox,-52,BOS
Albert Almora,28,CIN,NL,64,235,215,26,48,10,1,5,29,3,2,17,46,0.223,0.282,0.349,0.631,71,75,9,1,1,1,0,0.280982906,0.0,0.280982906,0.0,No,Cincinnati Reds,-167,CIN
Aristides Aquino,28,CIN,NL,80,276,259,24,51,13,0,10,30,2,3,17,101,0.197,0.246,0.363,0.609,64,94,1,0,0,0,0,0.268695652,2.0,0.268695652,2.0,No,Cincinnati Reds,-167,CIN
Jose Barrero,24,CIN,NL,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206,0.401,10,34,4,0,0,0,0,0.184022989,2.0,0.184022989,2.0,No,Cincinnati Reds,-167,CIN
Ronnie Dawson*,27,CIN,NL,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
